Scientific Name,Common Name,Trend in CSI when omitted,% change,SSI
Sturnus vulgaris,Starling,-0.0027,30.03,1.23
Columba palumbus,Woodpigeon,-0.0032,17.04,0.38
Anthus pratensis,Meadow Pipit,-0.0035,8.26,1.8
Parus major,Great Tit,-0.0037,4.85,0.38
Emberiza citrinella,Yellowhammer,-0.0037,3.44,1.04
Apus apus,Swift,-0.0038,1.49,0.89
Regulus regulus,Goldcrest,-0.0038,1.34,1.46
Carduelis carduelis,Goldfinch,-0.0038,1.02,0.6
Motacilla flava,Yellow Wagtail,-0.0038,0.96,1.45
Miliaria calandra,Corn Bunting,-0.0038,0.95,1.65
Aegithalos caudatus,Long-tailed Tit,-0.0038,0.91,0.43
Perdix perdix,Grey Partridge,-0.0038,0.89,1.01
Sylvia atricapilla,Blackcap,-0.0038,0.81,0.53
Phylloscopus trochilus,Willow Warbler,-0.0038,0.67,0.69
Buteo buteo,Buzzard,-0.0038,0.53,0.42
Acrocephalus schoenobaenus,Sedge Warbler,-0.0038,0.49,1.46
Numenius arquata,Curlew,-0.0038,0.49,1.28
Parus palustris,Marsh Tit,-0.0038,0.48,1.07
Phylloscopus collybita,Chiffchaff,-0.0038,0.46,0.54
Ficedula hypoleuca,Pied Flycatcher,-0.0038,0.32,1.06
Saxicola rubetra,Whinchat,-0.0038,0.27,1.31
Phylloscopus sibilatrix,Wood Warbler,-0.0038,0.24,1.1
Tringa totanus,Redshank,-0.0038,0.23,1.75
Actitis hypoleucos,Common Sandpiper,-0.0038,0.2,1.5
Certhia familiaris,Treecreeper,-0.0038,0.17,0.82
Dendrocopos major,Great Spotted Woodpecker,-0.0038,0.17,0.56
Gallinago gallinago,Snipe,-0.0038,0.16,1.61
Anthus trivialis,Tree Pipit,-0.0038,0.15,1.35
Gallinula chloropus,Moorhen,-0.0038,0.12,1.31
Vanellus vanellus,Lapwing,-0.0038,0.11,0.89
Oxyura jamaicensis,Ruddy Duck*,-0.0038,0.1,2.42
Haematopus ostralegus,Oystercatcher,-0.0038,0.1,0.99
Picus viridis,Green Woodpecker,-0.0038,0.1,0.45
Motacilla cinerea,Grey Wagtail,-0.0038,0.09,1.05
Carduelis flavirostris,Twite,-0.0038,0.09,1.4
Tadorna tadorna,Shelduck,-0.0038,0.09,1.36
Calidris alpina,Dunlin,-0.0038,0.07,2.02
Catharacta skua,Great Skua,-0.0038,0.07,2.86
Prunella modularis,Dunnock,-0.0038,0.07,0.44
Sylvia undata,Dartford Warbler,-0.0038,0.07,2.37
Luscinia megarhynchos,Nightingale,-0.0038,0.06,1.16
Parus montanus,Willow Tit,-0.0038,0.06,0.68
Turdus torquatus,Ring Ouzel,-0.0038,0.05,2
Strix aluco,Tawny Owl,-0.0038,0.05,0.87
Turdus philomelos,Song Thrush,-0.0038,0.04,0.36
Charadrius dubius,Little Ringed Plover,-0.0038,0.03,2.23
Aythya ferina,Pochard,-0.0038,0.03,2.51
Sterna sandvicensis,Sandwich Tern,-0.0038,0.03,1.49
Bucephala clangula,Goldeneye,-0.0038,0.03,1.87
Lagopus mutus,Ptarmigan,-0.0038,0.03,3.18
Corvus cornix,Hooded Crow,-0.0038,0.03,0.77
Fulmarus glacialis,Fulmar,-0.0038,0.03,1.05
Stercorarius parasiticus,Arctic Skua,-0.0038,0.02,2.13
Charadrius hiaticula,Ringed Plover,-0.0038,0.02,1.33
Locustella naevia,Grasshopper Warbler,-0.0038,0.02,0.93
Chrysolophus pictus,Golden Pheasant*,-0.0038,0.02,1.41
